City,Lattitude,Max Temperature,Humidity,Cloudiness,Wind Speed
shache,38.42,40.23,43,0,4.7
sheridan,39.65,46,48,20,5.82
tera,34.97,59,87,20,8.05
brae,60.4,39.2,94,20,14.99
nishihara,35.74,57,29,0,4.7
qaanaaq,77.48,-30.87,98,0,8.95
tsihombe,21.46,77.22,100,12,14.99
cockburn town,71.98,0.54,73,68,10.07
khatanga,-33.64,79,41,48,8.39
busselton,-0.74,78.8,78,20,9.17
puerto ayora,-34.53,69.8,88,32,3.36
bredasdorp,-33.21,77.22,85,0,4.36
jamestown,70.62,-11.16,74,36,4.36
chokurdakh,-29.9,59,82,0,4.7
la serena,-53.16,48.2,81,75,29.97
punta arenas,-37.83,69.8,68,12,3.36
mount gambier,45.36,27,45,20,13.87
saint-philippe,19.71,75.2,64,90,14.99
hilo,-33.59,69.01,96,88,3
port alfred,22.08,77,50,40,24.16
kapaa,59.7,37,93,90,13.42
nikolskoye,42.84,50.58,47,0,7.72
hami,61.47,43.11,100,20,8.05
vagur,-38.31,63.99,80,0,8.84
raga,59.08,16.74,72,68,4.92
barrow,-2.92,75.78,94,8,3.36
palana,6.8,80.6,74,20,11.41
itarema,65.61,15.8,85,92,3.36
georgetown,38.52,61.29,95,0,8.95
tasiilaq,42.65,30.2,39,90,4.7
ribeira grande,39.45,54,81,0,1.68
albany,47.66,28,63,90,24.16
saint george,-34,68.13,87,80,11.97
torbay,14.9,70.56,98,12,11.86
kruisfontein,-2.54,85.77,94,0,5.59
sao filipe,22.89,69.01,68,75,2.8
taolanaro,68.31,1.98,100,48,11.74
sampit,59.06,18.45,85,20,3.69
cabo san lucas,52.47,41,93,8,9.17
kangaatsiaq,35.73,54,42,20,4.7
kargasok,-34.72,70.02,83,12,10.74
broome,11.76,72.63,24,20,10.4
hasaki,-46.19,71.73,62,44,8.95
port lincoln,69.44,24.8,85,40,6.93
dutse,54.32,57.2,54,90,10.29
mataura,-34.42,63,97,56,3.13
tuktoyaktuk,36.62,73.99,55,1,3.36
prince rupert,33.08,60.8,67,40,10.29
grand centre,-20.34,75.2,94,20,5.82
hermanus,62.21,35.6,80,92,6.71
pacific grove,-46.43,56.25,57,0,25.28
camacha,73.51,26.91,95,88,17.11
bambous virieux,51.71,33.75,83,44,4.14
kondopoga,71.97,-16.65,48,0,3.13
mar del plata,-9.8,82.71,100,68,15.21
dikson,45.6,44.01,86,40,4.7
katangli,-28.77,71.19,85,8,5.93
saleaula,0.7,87.3,64,24,4.92
saskylakh,-3.99,86.76,76,8,3.69
illoqqortoormiut,39.31,41,69,1,2.91
atuona,28.89,59.85,82,0,3.13
souillac,13.78,80.82,94,48,14.09
richards bay,-18.17,71.55,89,68,4.59
sungairaya,-33.02,72.99,100,92,10.74
kendari,-54.81,44.6,93,90,16.11
port elizabeth,55.46,39,86,56,9.17
huilong,-0.6,83.25,100,0,2.35
gigmoto,5.28,84.2,74,75,3.36
catalao,-7.63,77,94,0,2.35
east london,8.96,57.2,62,20,6.93
ushuaia,68.22,46.4,42,20,8.05
ayr,55.34,51.8,93,90,8.05
hithadhoo,48.53,28.8,86,12,2.57
victoria,72.79,-11.7,100,20,9.4
sentyabrskiy,50.23,14,61,20,20.8
cruzeiro do sul,-25.41,56.79,92,0,1.45
lebu,47.99,39,74,0,1.01
aklavik,78.22,12.2,78,75,13.87
ketchikan,-3.41,81,83,0,2.24
kostyantynivka,29.7,55.4,81,1,8.05
upernavik,44.83,44.01,93,8,4.7
havre-saint-pierre,57.69,7.38,77,32,3.58
taltal,-23.58,84.78,78,8,4.36
konstantinovka,15.89,85.05,67,32,2.13
longyearbyen,30.38,51.8,87,20,3.36
paracuru,-21.21,84.2,83,12,16.11
morgan city,-16.48,84.69,100,36,8.05
saint-augustin,-33.69,70.2,97,92,15.88
ust-ishim,34.7,61,32,20,8.05
bluff,-23.12,78.75,100,80,21.47
bani,-43.03,69.01,56,75,5.82
tehri,20.89,78.8,44,40,14.99
avarua,-42.48,51.8,71,0,8.05
faanui,29.96,50.58,100,92,12.41
chuy,-26.65,58.86,91,0,12.75
shimoda,57.8,17.82,80,12,11.41
rikitea,43.74,30,77,80,3
margate,-22.97,77,96,75,1.12
asfi,4.39,75.2,94,0,2.68
kahului,71.64,-13.41,81,24,4.14
castro,-42.78,69.01,56,75,5.82
shenjiamen,4.14,80.37,100,68,2.8
luderitz,7.04,75.2,94,90,5.82
tigil,60.91,41,38,88,11.41
goderich,45.34,44.6,70,0,2.24
bafra,50.68,29.61,98,56,10.18
hendijan,11,84.51,59,8,16.78
mys shmidta,-5.2,80.6,94,20,5.82
arraial do cabo,46.45,38.97,62,88,6.82
bangui,41.1,64.89,40,0,11.18
tiksi,55.74,28.4,63,20,3.36
attawapiskat,24.92,64,54,0,13.42
new norfolk,5.88,77,83,56,3.36
meulaboh,2.82,87.8,43,0,12.75
naftah,-42.88,69.01,56,75,5.82
kloulklubed,48.94,55,76,20,4.7
narsaq,-2.73,57.51,97,0,2.57
novska,-34.85,89.01,53,0,8.05
severo-kurilsk,60.14,32.04,94,68,15.21
dingle,-11.22,64.26,93,24,3.36
touros,38.73,59,93,40,6.6
vostok,21.05,80.6,65,40,4.7
nanpiao,38.18,62.6,48,0,10.29
bengkulu,-19.98,75.2,94,20,5.82
thompson,-6.28,87.01,74,20,6.93
lianran,10.49,69.21,93,80,3.02
nieuw amsterdam,-37.04,64.4,68,56,9.17
boa vista,69.22,-0.41,59,24,13.87
hobart,11.61,79.47,72,8,18.45
ucluelet,50.56,34,78,56,3.69
longido,40.54,39.99,94,0,3
palmer,4.94,75.2,83,0,1.12
nanortalik,24.63,53.6,32,0,5.82
chama,-1.2,76.32,96,68,4.14
praia da vitoria,62.45,37.4,51,20,4.7
teya,40.16,51.01,87,0,4.7
fortuna,20.2,65.34,29,64,2.8
mrirt,-30.51,69.93,97,92,5.7
cap malheureux,-19.8,86,70,40,8.05
sakakah,65.8,-0.99,67,20,3.13
makasar,-27.93,84,69,40,11.41
moron,67.56,29.61,90,92,4.7
cabrero,36.62,55,93,0,4.7
ilulissat,-30.17,72.99,91,68,13.31
amderma,5.43,75.2,100,20,2.57
punta cardon,-13.71,71.6,73,0,18.34
husavik,-28.65,84.2,100,40,10.29
guarda,-31.97,84.2,26,0,6.93
cayenne,33.93,48.2,61,75,3.36
riyadh,51.02,46,75,80,11.41
carutapera,5.38,78.57,97,88,10.85
yellowknife,-17.53,89.6,66,40,2.24
buarcos,22.04,69.8,88,75,6.93
gurupa,-43.53,66,77,0,8.05
tessalit,-8.49,80.01,100,76,10.85
cacapava do sul,46.84,23.22,100,48,18.68
pangai,18.9,62.28,19,0,8.05
turukhansk,59.7,6.39,60,36,8.72
clifton,-45.58,41,80,64,27.51
kovdor,-13.19,69.48,92,0,3.02
fethiye,22.58,71.73,84,88,12.64
cidreira,45.52,68,25,1,19.46
naze,64.86,46.4,36,75,9.17
pisco,67.46,-13.5,41,20,3.69
byron bay,67.8,-10.08,64,12,4.14
broken hill,53.05,17.37,80,68,2.46
katsuura,55.82,36,94,90,8.95
bideford,37.18,57.15,44,80,17.34
sinnamary,9.85,77.85,83,0,2.57
tiarei,39.57,57.2,71,20,20.8
harindanga,51.04,46,75,80,11.41
christchurch,29.7,56.88,80,0,2.35
bokspits,-0.92,80.6,83,20,2.24
merauke,63.84,41,93,75,12.75
balkhash,67.67,24.12,88,88,12.97
araouane,57.78,32.58,94,88,14.43
arman,63.91,31.86,87,88,12.64
coihaique,41.28,27.72,75,0,1.68
ambilobe,19.1,61.38,100,0,9.95
pirojpur,68.75,-11.79,56,20,7.72
portland,13.22,78.8,74,75,16.11
college,-30.65,48.69,87,0,2.8
srednekolymsk,3.07,77.22,100,92,16.22
batagay-alyta,13.64,71.19,16,0,11.97
beya,67.55,16.92,89,76,11.63
marcona,6.12,77,100,75,5.82
grand river south east,24.35,68.22,55,12,2.68
opalikha,-15.62,69.75,97,36,3.13
laizhou,63.45,5.94,64,56,3.91
idukki,-35.36,71.6,73,75,10.29
manacor,63.75,-20.01,68,5,14.99
northam,10.57,81.99,100,0,4.92
tiznit,41.84,32.49,83,92,3.47
padang,56.96,25.65,67,44,5.93
korla,-31.43,84,61,64,2.24
grindavik,-33.93,69.01,93,0,11.41
naryan-mar,-17.73,89.6,66,40,2.24
bezhetsk,4.87,82.71,99,20,7.16
bacuit,-4.8,65.88,90,64,2.24
onega,-22.95,61,87,0,8.05
poum,15.34,68,49,0,4.25
burica,64.84,46.4,36,75,9.17
sawakin,68.05,26.55,90,88,10.96
cherskiy,-46.28,68.13,74,8,5.93
bathsheba,34.31,57.2,54,0,11.18
de aar,37.38,64.99,34,80,5.99
butaritari,-15.19,77.13,100,8,2.68
moussoro,37.17,52,43,0,1.99
komsomolskiy,62.23,32,100,12,3.36
bargal,39.62,43,30,40,4.7
hambantota,-10.75,71.73,100,64,9.62
